"estacao";"data";"umidade.relativa.media";"velocidade.do.vento.media";"precipitacao";"estacaoano"
83767;2017-06-25;69.5;2;0;"Inverno"
83767;2017-06-26;67.75;2;0;"Inverno"
83767;2017-06-27;61.75;2;0;"Inverno"
83767;2017-06-28;59.75;1.666667;0;"Inverno"
83767;2017-06-29;66.5;0.666667;0;"Inverno"
83767;2017-06-30;69;0;0;"Inverno"
83767;2017-07-01;66;0.666667;0;"Inverno"
83767;2017-07-02;70.75;1;0;"Inverno"
83767;2017-07-03;61;5;0;"Inverno"
83767;2017-07-04;56.75;4.666667;0;"Inverno"
83767;2017-07-05;58.75;1.666667;0;"Inverno"
83767;2017-07-06;61;2.333333;0;"Inverno"
83767;2017-07-07;62.25;2.333333;0;"Inverno"
83767;2017-07-08;66.5;2.333333;0;"Inverno"
83767;2017-07-09;68;1.666667;0;"Inverno"
83767;2017-07-10;60.5;1.333333;0;"Inverno"
83767;2017-07-11;57;1.333333;0;"Inverno"
83767;2017-07-12;52.75;1.666667;0;"Inverno"
83767;2017-07-13;57.5;1.333333;0;"Inverno"
83767;2017-07-14;58.25;2.333333;0;"Inverno"
83767;2017-07-15;45.25;2.666667;0;"Inverno"
83767;2017-07-16;47.75;1.333333;0;"Inverno"
83767;2017-07-17;80.75;4;0;"Inverno"
83767;2017-07-18;67.25;1.333333;0;"Inverno"
83767;2017-07-19;59.75;0.666667;0;"Inverno"
83767;2017-07-20;59.75;1;0;"Inverno"
83767;2017-07-21;47;1;0;"Inverno"
83767;2017-07-22;47.25;1;0;"Inverno"
83767;2017-07-23;52;1.666667;0;"Inverno"
83767;2017-07-24;40.5;2.333333;0;"Inverno"
83767;2017-07-25;44;1;0;"Inverno"
83767;2017-07-26;49.25;1.333333;0;"Inverno"
83767;2017-07-27;54.5;1.333333;0;"Inverno"
83767;2017-07-28;55.25;2.333333;0;"Inverno"
83767;2017-07-29;53.75;2.333333;0;"Inverno"
83767;2017-07-30;52.75;1.333333;0;"Inverno"
83767;2017-07-31;53.25;0.666667;0;"Inverno"
83767;2017-08-01;48.5;1.333333;0;"Inverno"
83767;2017-08-02;49;1;0;"Inverno"
83767;2017-08-03;93.25;1.666667;1.2;"Inverno"
83767;2017-08-04;63.5;1;0;"Inverno"
83767;2017-08-05;55.5;2.333333;0;"Inverno"
83767;2017-08-06;56.75;1.666667;0;"Inverno"
83767;2017-08-07;49.25;1.666667;0;"Inverno"
83767;2017-08-08;48.75;1;0;"Inverno"
83767;2017-08-09;50.25;1;0;"Inverno"
83767;2017-08-10;43;1;0;"Inverno"
83767;2017-08-11;48.75;2.666667;0;"Inverno"
83767;2017-08-12;41;2.333333;0;"Inverno"
83767;2017-08-13;82;3;0;"Inverno"
83767;2017-08-14;59.25;1.333333;13.2;"Inverno"
83767;2017-08-15;97.5;1;35.7;"Inverno"
83767;2017-08-16;95;0.333333;38.6;"Inverno"
83767;2017-08-17;85.25;1.666667;0;"Inverno"
83767;2017-08-18;83.5;1.666667;0;"Inverno"
83767;2017-08-19;78;2.666667;24.2;"Inverno"
83767;2017-08-20;78;2.333333;23.2;"Inverno"
83767;2017-08-21;70.5;2.333333;6.8;"Inverno"
83767;2017-08-22;61.75;2.333333;0;"Inverno"
83767;2017-08-23;60;3.333333;0;"Inverno"
83767;2017-08-24;52.25;2.666667;0;"Inverno"
83767;2017-08-25;49;2;0;"Inverno"
83767;2017-08-26;48.25;1.666667;0;"Inverno"
83767;2017-08-27;39.75;1;0;"Inverno"
83767;2017-08-28;40.75;1.333333;0;"Inverno"
83767;2017-08-29;36.25;1;0;"Inverno"
83767;2017-08-30;40;0.333333;0;"Inverno"
83767;2017-08-31;49.5;2.333333;0;"Inverno"
83767;2017-09-01;55.5;3.666667;0;"Inverno"
83767;2017-09-02;56.25;2;0;"Inverno"
